PI_pur;PI_sell
0.02373;0.00297
0.02366;0.00295
0.0265;0.0055
0.03011;0.00879
0.05254;0.02863
0.094;0.03673
0.09577;0.03889
0.1869;0.03769
0.18526;0.03638
0.18373;0.03529
0.18377;0.035
0.08811;0.03101
0.08651;0.02934
0.08851;0.031
0.08989;0.03392
0.18607;0.03752
0.19766;0.04694
0.19815;0.04696
0.18854;0.03752
0.08548;0.02787
0.06905;0.01393
0.04453;0.02044
0.0423;0.01817
0.03103;0.00851
0.03027;0.00776
0.02836;0.0062
0.03497;0.01198
0.04498;0.02078
0.0626;0.03734
0.1016;0.043
0.10624;0.04642
0.19794;0.04744
0.19655;0.04545
0.19394;0.04409
0.1961;0.04597
0.10177;0.04299
0.09997;0.04106
0.101;0.04191
0.10781;0.0479
0.20625;0.05314
0.20528;0.05313
0.20528;0.05316
0.20238;0.04914
0.10439;0.04344
0.09844;0.03824
0.06552;0.03719
0.06347;0.03534
0.06264;0.03442
0.06153;0.03334
0.06353;0.03504
0.06818;0.03916
0.07731;0.04805
0.08705;0.05694
0.12111;0.05899
0.12088;0.0598
0.21062;0.05898
0.20773;0.05628
0.20674;0.0559
0.20621;0.05553
0.11639;0.0564
0.11827;0.05799
0.1197;0.05926
0.1222;0.06099
0.21984;0.06586
0.22122;0.06732
0.21201;0.05922
0.21006;0.05593
0.11749;0.05253
0.11376;0.04783
0.07486;0.04541
0.07365;0.04386
0.0718;0.04208
0.07077;0.04104
0.06988;0.04036
0.07267;0.04319
0.07986;0.05017
0.08821;0.05851
0.12297;0.06147
0.12148;0.06094
0.2105;0.05938
0.20942;0.05838
0.20737;0.05699
0.20462;0.05439
0.10871;0.04986
0.10663;0.04786
0.10685;0.04791
0.10809;0.04886
0.20863;0.05645
0.20952;0.05734
0.20369;0.05178
0.20233;0.04973
0.11148;0.04835
0.1091;0.04584
0.07398;0.04389
0.06762;0.03834
0.06576;0.03734
0.0631;0.03492
0.06121;0.03335
0.05952;0.03205
0.0623;0.03436
0.06182;0.03459
0.06103;0.03556
0.06269;0.03734
0.06435;0.03795
0.06143;0.03738
0.06088;0.03736
0.06358;0.03961
0.06155;0.03734
0.05794;0.03382
0.05581;0.03348
0.05754;0.03493
0.066;0.04138
0.06693;0.04282
0.06105;0.03749
0.05527;0.03094
0.05222;0.02862
0.04977;0.02624
0.04289;0.01789
0.03874;0.01384
0.02441;0.00175
0.02255;0.00003
0.02246;-0.00001
0.02254;-0.00001
0.02251;0.00003
0.02409;0.0017
0.03175;0.00884
0.04429;0.01652
0.04674;0.01984
0.03663;0.01652
0.03192;0.01379
0.03422;0.01491
0.03338;0.01478
0.02248;0.00532
0.02248;0.00527
0.0326;0.01375
0.04926;0.02159
0.04672;0.02524
0.04788;0.02684
0.04612;0.02524
0.04067;0.01984
0.0338;0.01389
0.02114;0.00179
0.02088;0.00179
0.02063;0.00179
0.02014;0.00118
0.01992;0.00113
0.02329;0.00179
0.02225;0.00179
0.03027;0.00788
0.07678;0.02043
0.07707;0.02125
0.15659;0.01131
0.15147;0.00681
0.15005;0.00565
0.14727;0.00323
0.0544;0.00173
0.05459;0.00175
0.05477;0.00176
0.0571;0.00486
0.15438;0.00792
0.17047;0.0223
0.17169;0.02509
0.16875;0.0223
0.06625;0.01231
0.0608;0.00698
0.02078;0.00179
0.02034;0.00179
0.01975;0.00135
0.01938;0.00094
0.01992;0.0014
0.02321;0.00179
0.021;0.00179
0.02557;0.00738
0.06651;0.01218
0.06645;0.01251
0.15488;0.01028
0.15378;0.00932
0.15191;0.00782
0.15248;0.00818
0.05896;0.00607
0.05993;0.00679
0.06001;0.00684
0.05928;0.00784
0.1556;0.01034
0.15945;0.01384
0.15945;0.01495
0.15704;0.0125
0.05985;0.00712
0.05422;0.0018
0.03032;0.00785
0.02167;0.00176
0.02066;0.00175
0.02056;0.00172
0.02052;0.00172
0.02082;0.00172
0.02199;0.00179
0.03469;0.01384
0.08516;0.02688
0.08327;0.02523
0.17538;0.02581
0.17098;0.02195
0.16599;0.01718
0.16884;0.01977
0.07132;0.01429
0.07192;0.01429
0.08229;0.02383
0.08916;0.03072
0.21263;0.05841
0.23744;0.07984
0.22879;0.0731
0.21806;0.06378
0.12514;0.0601
0.09902;0.03834
0.07763;0.04883
0.04875;0.02413
0.03575;0.01384
0.03045;0.00927
0.0238;0.00368
0.03396;0.01208
0.0614;0.03503
0.08489;0.05713
0.12148;0.06005
0.12124;0.06078
0.21123;0.05997
0.20793;0.05714
0.20471;0.05484
0.20483;0.05484
0.10928;0.05083
0.1127;0.05357
0.11444;0.05511
0.12023;0.05978
0.2138;0.06133
0.22709;0.07233
0.22625;0.07175
0.21565;0.06211
0.1224;0.0586
0.11478;0.05129
0.05854;0.03196
0.04936;0.02384
0.03971;0.01583
0.03291;0.01009
0.03282;0.01009
0.03981;0.01582
0.05359;0.02642
0.07939;0.05133
0.11603;0.05484
0.11577;0.05559
0.20344;0.05284
0.19766;0.04757
0.18726;0.03853
0.18003;0.03208
0.0823;0.02614
0.06904;0.01384
0.07161;0.01601
0.08887;0.03146
0.20283;0.05151
0.21068;0.05756
0.21378;0.06084
0.21286;0.05915
0.11791;0.05437
0.10757;0.04489
0.05357;0.02783
0.04881;0.0214
0.037;0.01372
0.03413;0.011
0.03245;0.00962
0.03643;0.01294
0.0397;0.01573
0.04787;0.02271
0.05851;0.03319
0.06635;0.04053
0.07183;0.0448
0.06841;0.04232
0.06435;0.03924
0.06596;0.04049
0.06531;0.03942
0.06006;0.03423
0.05802;0.03506
0.07055;0.04559
0.08369;0.0564
0.09732;0.06877
0.09274;0.06292
0.0867;0.05723
0.08244;0.05315
0.07914;0.05009
0.06294;0.03183
0.05581;0.02513
0.04804;0.01853
0.04231;0.01372
0.04143;0.01279
0.04084;0.01233
0.04032;0.01233
0.04037;0.01231
0.03776;0.01089
0.03684;0.01224
0.03541;0.0124
0.03497;0.01058
0.02828;0.00495
0.03145;0.00775
0.02846;0.00496
0.02556;0.00171
0.02235;0.0017
0.02247;0.0017
0.03277;0.00975
0.04507;0.02232
0.0507;0.02905
0.04734;0.02622
0.03763;0.01506
0.0272;0.00474
0.02536;0.00171
0.02406;0.0008
0.02257;-0.00001
0.02327;-0.00001
0.02365;0.0007
0.02533;0.00127
0.02597;0.00171
0.03787;0.01518
0.10133;0.04119
0.09763;0.03882
0.17077;0.02348
0.15993;0.01371
0.15873;0.01178
0.15669;0.0097
0.05877;0.00357
0.05683;0.00173
0.05673;0.00172
0.05993;0.00472
0.17304;0.02477
0.19454;0.04347
0.19678;0.04536
0.19355;0.04189
0.08;0.02148
0.05934;0.00215
0.02688;0.00172
0.02748;0.00171
0.02647;0.00171
0.02553;0.0008
0.02555;0.00081
0.02617;0.00171
0.02916;0.00176
0.03993;0.01496
0.09185;0.03503
0.08943;0.03342
0.17384;0.02719
0.16059;0.01484
0.15827;0.01228
0.15839;0.01228
0.06683;0.01184
0.06729;0.01203
0.08056;0.02484
0.0967;0.03954
0.20439;0.05307
0.22123;0.06809
0.21355;0.06108
0.2014;0.04983
0.10927;0.04803
0.10312;0.04294
0.07006;0.04186
